,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
12/29/2025,F-201,,,BFSI A 7,BFSI B 7,,IBS A 6,IBS B 6,AO A 4,AO B 4,,,,
12/29/2025,F-203,,,HBAFL 2,,,MSM 4,,MarkA 1,,,,,
12/29/2025,F-103,,,EIM A 4,EIM B 4,,,,,,,,,
12/29/2025,SRC-201,,,,,,,,,,,,,
12/29/2025,G103,,,,,,,,,,,,,
12/30/2025,F-201,,,EcoP 4,,,DPM A 2,DPM B 2,CIED B 4,CIED A 4,HBAFL 3,,,
12/30/2025,F-203,,ETC 5,PBEI A 1,PBEI B 1,,ELDM A 4,ELDM B 4,,,,,,
12/30/2025,F-103,,,,,,,,,,,,,
12/30/2025,SRC-201,,,,,,,,,,,,,
12/30/2025,G103,,,,,,,,,,,,,
12/31/2025,F-201,,MarkA 2,BFSI A 8,BFSI B 8,,EIM A 5,EIM B 5,IBS A 7,IBS B 7,,,,
12/31/2025,F-203,,,,,,,,,MSM 5,,,,
12/31/2025,F-103,,,,,,,,,,,,,
12/31/2025,SRC-201,,,,,,,,,,,,,
12/31/2025,G103,,,,,,,,,,,,,
01/01/2026,F-201,,PBM 1,PBEI A 2,PBEI B 2,,CIED A 5,CIED B 5,,,,,,
01/01/2026,F-203,,ELDM A 5,ELDM B 5,EcoP 5,,ETC 6,,,,,,,
01/01/2026,F-103,,,,,,,,,,,,,
01/01/2026,SRC-201,,,,,,,,,,,,,
01/01/2026,G103,,,,,,,,,,,,,
01/02/2026,F-201,,BF A 1,BF B 1,,,EIM A 6,EIM B 6,,,,,,
01/02/2026,F-203,,,BFSI A 9,BFSI B 9,,,AO A 5,AO B 5,,,,,
01/02/2026,F-103,,,,,,,,,,,,,
01/02/2026,SRC-201,,,,,,,,Yoga B 1,,,,,
01/02/2026,G103,,,,,,,,,,,,,
01/03/2026,F-201,,,ET-CFEC,,,PBM 2,,CIED A 6,CIED B 6,,,,
01/03/2026,F-203,,,,,,,,,,,,,
01/03/2026,F-103,,,,,,,,,,,,,
01/03/2026,SRC-201,,,,,,,,Yoga B 2,,,,,
01/03/2026,G103,,,,,,,,,,,,,
01/04/2026,F-201,,,Quiz-BFSI,,,BF A 2,BF B 2,,,,,,
01/04/2026,F-203,,,,,,,,,,,,,
01/04/2026,F-103,,,,,,,,,,,,,
01/04/2026,SRC-201,,,,,,,,Yoga B 3,,,,,
01/04/2026,G103,,,,,,,,,,,,,
01/05/2026,F-201,,BFSI A 10,BFSI B 10,,,MSM 6,AO A 6,AO B 6,MarkA 3,,,,
01/05/2026,F-203,,,IBSCG A 1,IBSCG B 1,,,CLTC 1,,,,,,
01/05/2026,F-103,,MDT 5,MDT 6,,,,BV 1,,,,,,
01/05/2026,SRC-201,,,,,,,,Yoga B 4,,,,,
01/05/2026,G103,,,,,,,,,,,,,
01/06/2026,F-201,,ETC 7,ELDM A 6,ELDM B 6,Quiz-MDT,PBM 3,,,,MT-BDG,,,
01/06/2026,F-203,,,,BDG 5,,DPM A 3,DPM B 3,Digital A 1,Digital B 1,,,,
